Name,Gender,Nationality,VoxCeleb_ID,Video_ID,Video_Title,Age,Unique_ID,index,Use
Rocsi Diaz,female,Honduras,id07474,_O37mNBaNek,Idina Menzel Red Carpet Interview - AMAs 2016,33.0,id07474__O37mNBaNek,0,TRN
Rocsi Diaz,female,Honduras,id07474,dlurocVVLNo,Taraji P. Henson Red Carpet Interview - AMAs 2016,33.0,id07474_dlurocVVLNo,1,TRN
Rocsi Diaz,female,Honduras,id07474,m-oNIsWmUGY,Jorge Blanco Red Carpet Interview - AMAs 2016,33.0,id07474_m-oNIsWmUGY,2,TRN
Rocsi Diaz,female,Honduras,id07474,jKAU4Gy45cY,Gigi Hadid Red Carpet Interview - AMAs 2016,33.0,id07474_jKAU4Gy45cY,3,TRN
Rocsi Diaz,female,Honduras,id07474,MxaOUSvvEJk,Emeli Sandé Red Carpet Interview - AMAs 2016,33.0,id07474_MxaOUSvvEJk,4,TRN
Rose Byrne,female,Australia,id07564,S-A97trX5Aw,Annie Interview - Rose Byrne (2014) - Musical HD,35.0,id07564_S-A97trX5Aw,5,TRN
Rose Byrne,female,Australia,id07564,LxfTr1LMRdU,The Internship Interview - Rose Byrne (2013) - Owen Wilson Movie HD,34.0,id07564_LxfTr1LMRdU,6,TRN
Rose Byrne,female,Australia,id07564,z4ZDYJ0XNjc,Seth Rogen & Rose Byrne Interview - Neighbors (2014) JoBlo.com HD,35.0,id07564_z4ZDYJ0XNjc,7,TRN
Rose Byrne,female,Australia,id07564,7nedaYXQvyc,This Is Where I Leave You Interview - Rose Byrne (2014) - Comedy HD,35.0,id07564_7nedaYXQvyc,8,TRN
Rose Byrne,female,Australia,id07564,V76wlf-Vmus,Neighbors Interview - Rose Byrne (2014) - Comedy HD,35.0,id07564_V76wlf-Vmus,9,TST
Amy Robach,female,The-United-States-of-America,id00428,zqtJKOmKDFU,Enrique Iglesias & Jennifer Lopez In Backstage Tour Exclusive 'GMA' Good Morning America 2012,39.0,id00428_zqtJKOmKDFU,10,TRN
Dia Mirza,female,India,id02166,fT4NJdCQVKY,Dia Mirza and Sahil Sangha - Exclusive Interview with Kushi Media at the IIFA Rocks 2013,32.0,id02166_fT4NJdCQVKY,11,TRN
Dia Mirza,female,India,id02166,yNHb12pgT6I,Dia Mirza visit The Goodhomes for Art 2016 & Lend Her Support,35.0,id02166_yNHb12pgT6I,12,TRN
Sandeepa Dhar,female,India,id07752,DEg7U_coMDU,Actress Sandeepa Dhaar Interview For New Year 2015 Country Club,26.0,id07752_DEg7U_coMDU,13,TRN
KT Tunstall,female,The-United-Kingdom-1,id04518,wRi0VhleyH0,KT Tunstall Kin BBC Breakfast 2016,41.0,id04518_wRi0VhleyH0,14,TRN
Madeleine Stowe,female,The-United-States-of-America,id05402,PsNJ4tJkYQ4,Madeleine Stowe Alma Awards 2012 Exclusive Interview Red Carpet,54.0,id05402_PsNJ4tJkYQ4,15,TRN
Madeleine Stowe,female,The-United-States-of-America,id05402,n1skWn15JNw,Madeleine Stowe on GMA [2013],55.0,id05402_n1skWn15JNw,16,TRN
Ayelet Zurer,female,Israel,id00842,eKAEBVmgN2A,"Darling Companion Trailer 2012 & Cast Interviews w/ Kevin Kline, Mark Duplass, Ayelet Zurer & More",43.0,id00842_eKAEBVmgN2A,17,TRN
Rhona Mitra,female,The-United-Kingdom-1,id07308,NjhS0gUlqmM,Comic-Con 2012 - Strike Back Cast Interviews,36.0,id07308_NjhS0gUlqmM,18,TRN
Wendy Sherman,female,The-United-States-of-America,id08993,0j4lX7Xxvfk,"Wendy Sherman interview with Tamar Ish Shalom, CH10, November 3, 2013",64.0,id08993_0j4lX7Xxvfk,19,TRN
Wendy Sherman,female,The-United-States-of-America,id08993,EtSsbEywkF0,Wendy Sherman in exclusive Interview for Channel 10 in Israel Nov2013,64.0,id08993_EtSsbEywkF0,20,TRN
Janine Kunze,female,Germany,id03829,X66nVv5o7rQ,Markus Lanz (vom 23. Januar 2013) - ZDF (1/5),39.0,id03829_X66nVv5o7rQ,21,TRN
Janine Kunze,female,Germany,id03829,d8tHjz3L6eE,Markus Lanz (vom 23. Januar 2013) - ZDF (4/5),39.0,id03829_d8tHjz3L6eE,22,TRN
Janine Kunze,female,Germany,id03829,M3VnORYP9dM,Markus Lanz (vom 23. Januar 2013) - ZDF (3/5),39.0,id03829_M3VnORYP9dM,23,TRN
Yvonne Catterfeld,female,Germany,id09145,Dbf9MiCyCLo,Yvonne Catterfeld Exklusives Interview zu Niko 2 (2012),33.0,id09145_Dbf9MiCyCLo,24,TRN
Raveena Tandon,female,India,id07236,ADzuqu5sYyQ,Raveena Tandon interview at Rotary District Conference 2014,40.0,id07236_ADzuqu5sYyQ,25,TRN
Sonia Kruger,female,Australia,id08154,bjjGA9dlhKw,Anjies Interview Mornings Show 2 March 2012,47.0,id08154_bjjGA9dlhKw,26,TRN
Sonia Kruger,female,Australia,id08154,gOOUjBz6uQM,Big Brother 2012 Australia - ACA - AUDITION INFO,47.0,id08154_gOOUjBz6uQM,27,TST
Sheryfa Luna,female,France,id08020,TsX121Y7Jqo,Sheryfa Luna Interview 2010,21.0,id08020_TsX121Y7Jqo,28,TRN
Yasmin Warsame,female,Canada,id09076,HWCwz9g00CE,DATA Report 2010 Launch; Part 2 of 5,34.0,id09076_HWCwz9g00CE,29,TRN
Gabrielle Union,female,The-United-States-of-America,id02948,IwAfO9WTqho,Gabrielle Union Talks Naked Dwyane Wade at 2016 ESPYs | E! Red Carpet & Award Shows,44.0,id02948_IwAfO9WTqho,30,TRN
Gabrielle Union,female,The-United-States-of-America,id02948,laJr9xGuJEE,Gabrielle Union on SLEEPLESS  'activism' and her 2017 plans,45.0,id02948_laJr9xGuJEE,31,TRN
Gabrielle Union,female,The-United-States-of-America,id02948,LifXKCP4rLs,Nate Parker & Gabrielle Union Exclusive 'The Birth of a Nation' Interview (2016),44.0,id02948_LifXKCP4rLs,32,TST
Gabrielle Union,female,The-United-States-of-America,id02948,e87uYIuVzok,Gabrielle Union On Raising Black Boys In 2016 | ESSENCE,44.0,id02948_e87uYIuVzok,33,TRN
Gabrielle Union,female,The-United-States-of-America,id02948,DeW2V2772VA,Think Like A Man Too Interview - Gabrielle Union (2014) - Romantic Comedy Sequel HD,42.0,id02948_DeW2V2772VA,34,TRN
Kristin Kreuk,female,Canada,id04905,UKCzHTxQGcI,Beauty And The Beast' Cast Interview | Comic-Con 2013 | Entertainment Weekly,31.0,id04905_UKCzHTxQGcI,35,TRN
Kristin Kreuk,female,Canada,id04905,q7EmxbsdyyY,Interview With Kristin Kreuk & Jay Ryan of The CW's Beauty and the Beast at Comic-Con 2013,31.0,id04905_q7EmxbsdyyY,36,TRN
