Name,Gender,Nationality,VoxCeleb_ID,Video_ID,Video_Title,Age,Unique_ID,index,Use
Arnd Peiffer,male,Germany,id00778,DoazlQs250s,Biathlon: Interview mit Arnd Peiffer (28.01.2013),26.0,id00778_DoazlQs250s,0,TRN
Lee Westwood,male,The-United-Kingdom-1,id05082,vgjMMb3qsAU,2015 CIMB Niaga Indonesian Masters Rd 3 Lee Westwood interview,42.0,id05082_vgjMMb3qsAU,1,TRN
Spike Mendelsohn,male,The-United-States-of-America,id08185,zcgESGosKN4,Battle of the Burgers 2010!,30.0,id08185_zcgESGosKN4,2,TRN
Rocsi Diaz,female,Honduras,id07474,_O37mNBaNek,Idina Menzel Red Carpet Interview - AMAs 2016,33.0,id07474__O37mNBaNek,3,TRN
Rose Byrne,female,Australia,id07564,S-A97trX5Aw,Annie Interview - Rose Byrne (2014) - Musical HD,35.0,id07564_S-A97trX5Aw,4,TRN
Richard Bruton,male,The-Republic-of-Ireland,id07334,t1emVSapJyc,Early Career Awards 2016 Official Launch,63.0,id07334_t1emVSapJyc,5,TRN
Munro Chambers,male,Canada,id06270,Df7y9Rkc9J8,"'Degrassi' Cast Members Munro Chambers, Jordan Todosey, and Aislinn Paul Talk At the 2011 Emmy's",21.0,id06270_Df7y9Rkc9J8,6,TRN
Jürgen Melzer,male,Austria,id04510,i0wKO9ikrZE,Jurgen Melzer Reacts To Comeback At Poprad Challenger 2016,35.0,id04510_i0wKO9ikrZE,7,TRN
Amy Robach,female,The-United-States-of-America,id00428,zqtJKOmKDFU,Enrique Iglesias & Jennifer Lopez In Backstage Tour Exclusive 'GMA' Good Morning America 2012,39.0,id00428_zqtJKOmKDFU,8,TRN
Dia Mirza,female,India,id02166,fT4NJdCQVKY,Dia Mirza and Sahil Sangha - Exclusive Interview with Kushi Media at the IIFA Rocks 2013,32.0,id02166_fT4NJdCQVKY,9,TRN
Sandeepa Dhar,female,India,id07752,DEg7U_coMDU,Actress Sandeepa Dhaar Interview For New Year 2015 Country Club,26.0,id07752_DEg7U_coMDU,10,TRN
KT Tunstall,female,The-United-Kingdom-1,id04518,wRi0VhleyH0,KT Tunstall Kin BBC Breakfast 2016,41.0,id04518_wRi0VhleyH0,11,TRN
Alexandre Bilodeau,male,Canada,id00292,HBujsiemp_o,2014 Sochi Alexandre Bilodeau Wins Gold Medal 2010 Olympics - Men's Moguls,23.0,id00292_HBujsiemp_o,12,TRN
Eoin Morgan,male,The-United-Kingdom-1,id02567,JO8si91Zr3Q,Interview with Eoin Morgan - Brooks Macdonald Middlesex CCC June 2014 Player of the Month,28.0,id02567_JO8si91Zr3Q,13,TRN
Jason Ritter,male,The-United-States-of-America,id03871,6kr_9vE4a_A,Jason Ritter (Good Dick) Interview at 'Night Of 100 Stars' 2010 Oscar Viewing Party,30.0,id03871_6kr_9vE4a_A,14,TRN
Madeleine Stowe,female,The-United-States-of-America,id05402,PsNJ4tJkYQ4,Madeleine Stowe Alma Awards 2012 Exclusive Interview Red Carpet,54.0,id05402_PsNJ4tJkYQ4,15,TRN
Dylan Riley Snyder,male,The-United-States-of-America,id02322,tWhFFEeDLP8,Disney KICKIN IT Star Dylan Riley Snyder 2012 Kids Help Children CELEBRITY STOP BULLYING  Interview,15.0,id02322_tWhFFEeDLP8,16,TRN
Janez Potočnik,male,Slovenia,id03824,ceJHXPeMj30,Green week 2013: Janez Potočnik,55.0,id03824_ceJHXPeMj30,17,TRN
Kyle Lowry,male,The-United-States-of-America,id04945,P6rFuxTs7NY,"DeMar DeRozan & Kyle Lowry Interview | Raptors vs Bucks | Game 6 | April 28, 2017 | NBA Playoffs",31.0,id04945_P6rFuxTs7NY,18,TRN
DeMar DeRozan,male,The-United-States-of-America,id02078,BG-N-yDoO8M,"Demar Derozan Post Game Interview About Fight With Lance Stephenson | April 4, 2017",28.0,id02078_BG-N-yDoO8M,19,TRN
Mark Ballas,male,The-United-States-of-America,id05678,Jub0qnUpnH4,"Dancing with the Stars - Aly Raisman & Mark Ballas AfterBuzz TV Interview May 7th, 2013",27.0,id05678_Jub0qnUpnH4,20,TRN
Raghuram Rajan,male,India,id07161,MDXpyp9e6sc,"Post Policy Interview of Governor Dr. Raghuram G. Rajan on NDTV Profit on Sep 30, 2015",52.0,id07161_MDXpyp9e6sc,21,TRN
Ayelet Zurer,female,Israel,id00842,eKAEBVmgN2A,"Darling Companion Trailer 2012 & Cast Interviews w/ Kevin Kline, Mark Duplass, Ayelet Zurer & More",43.0,id00842_eKAEBVmgN2A,22,TRN
Oskar Freysinger,male,Switzerland,id06702,sGuruYpQOhY,Oskar Freysinger Rede @ COMPACT Konferenz 2016 - Offensive für Meinungsfreiheit,56.0,id06702_sGuruYpQOhY,23,TRN
Rulon Gardner,male,The-United-States-of-America,id07614,88DGtfI6CZQ,"Rulon Gardner, Keynote Speaker at Peak Vista's 2011 Breakfast of Champions on November 3",40.0,id07614_88DGtfI6CZQ,24,TRN
Kevin Costner,male,The-United-States-of-America,id04738,nh4Lw2nNj28,"Criminal Interview - Kevin Costner (2016) - Gary Oldman, Ryan Reynolds Movie HD",61.0,id04738_nh4Lw2nNj28,25,TRN
Stan Van Gundy,male,The-United-States-of-America,id08191,Pa84vuJgkvw,Awkward Stan Van Gundy / Dwight Howard Morning Shootaround Interview 4/5/2012,53.0,id08191_Pa84vuJgkvw,26,TRN
Ron Paul,male,The-United-States-of-America,id07531,dGWcbaJkm28,Uncut Ron Paul Interview - My Body Language Analysis. Walks out of CNN interview. 2012 debate - CJB,77.0,id07531_dGWcbaJkm28,27,TRN
Rhona Mitra,female,The-United-Kingdom-1,id07308,NjhS0gUlqmM,Comic-Con 2012 - Strike Back Cast Interviews,36.0,id07308_NjhS0gUlqmM,28,TRN
Udhayanidhi Stalin,male,India,id08739,BZfCw62pZU8,Exclusive: Actor Udhayanidhi Stalin Shares Saravanan Irukka Bayamen Movie Moments | 09/05/2017,40.0,id08739_BZfCw62pZU8,29,TST
Benoist Apparu,male,France,id00965,cQSY3ZNDOlI,"Interview Benoist Apparu - Salon de la construction, Lyon, avril 2011 - La Chaine Immo",42.0,id00965_cQSY3ZNDOlI,30,TRN
John Leguizamo,male,The-United-States-of-America,id04219,UDvF7rL8u1k,John Leguizamo Interview - Kick-Ass 2 (JoBlo.com) Comic-Con 2013,49.0,id04219_UDvF7rL8u1k,31,TRN
Eric Martsolf,male,The-United-States-of-America,id02583,IzaZ_vWEn0M,Eric Martsolf at the Daytime Emmy Awards 2017,46.0,id02583_IzaZ_vWEn0M,32,TRN
Stephen Moyer,male,The-United-Kingdom-1,id08234,RqisnYBNO28,True Blood: Anna Paquin & Stephen Moyer EW's Emmy Party 2010 Interview | Entertainment Weekly,41.0,id08234_RqisnYBNO28,33,TST
Wendy Sherman,female,The-United-States-of-America,id08993,0j4lX7Xxvfk,"Wendy Sherman interview with Tamar Ish Shalom, CH10, November 3, 2013",64.0,id08993_0j4lX7Xxvfk,34,TRN
Alexander Gerst,male,Germany,id00276,WX9Ws3D2Osc,Preis des Westfälischen Friedens 2014: Interview mit Alexander Gerst auf der ISS,38.0,id00276_WX9Ws3D2Osc,35,TST
Russell Westbrook,male,The-United-States-of-America,id07628,9Pa6bfg2ZYo,"Inside the NBA: Russell Westbrook Postgame Interview | Feb 15, 2015 | 2015 NBA All-Star Game",27.0,id07628_9Pa6bfg2ZYo,36,TRN
